【主播推送商品】,1665551357245,2022-10-12 13:09:17,主播,Top
【用户正在购买】,1665551361406,2022-10-12 13:09:21,木木54-,46号
【实时弹幕】,1665551370032,2022-10-12 13:09:30,DRH1314DRH,领券下单更优惠
【主播推送商品】,1665551377933,2022-10-12 13:09:37,主播,135号
【用户正在购买】,1665551379998,2022-10-12 13:09:39,jd_LumDOqnFuQGE,135号
【用户正在购买】,1665551409036,2022-10-12 13:10:09,木木54-,64号
【实时弹幕】,1665551417022,2022-10-12 13:10:17,jd_139062kok,领券下单更优惠
【用户加入购物车】,1665551417753,2022-10-12 13:10:17,jd_730559b8f8e2d,Top
【用户领券】,1665551419377,2022-10-12 13:10:19,jd_730559b8f8e2d,领取了满169减70元券
【用户正在购买】,1665551425730,2022-10-12 13:10:25,木木54-,75号
【用户正在购买】,1665551435079,2022-10-12 13:10:35,木木54-,77号
【用户正在购买】,1665551455378,2022-10-12 13:10:55,木木54-,87号
【主播推送商品】,1665551456747,2022-10-12 13:10:56,主播,135号
【用户正在购买】,1665551465910,2022-10-12 13:11:05,木木54-,96号
【用户加入购物车】,1665551513990,2022-10-12 13:11:53,木木54-,135号
【实时弹幕】,1665551538245,2022-10-12 13:12:18,古龙58,领券下单更优惠
【用户领券】,1665551590312,2022-10-12 13:13:10,木木54-,领取了满169减70元券
【用户领券】,1665551592056,2022-10-12 13:13:12,木木54-,领取了满169减70元券
【用户正在购买】,1665551592660,2022-10-12 13:13:12,jd_AcmidbeInVQG,105号
【用户正在购买】,1665551594848,2022-10-12 13:13:14,以沫-初夏ing,137号
【主播推送商品】,1665551607133,2022-10-12 13:13:27,主播,135号
【实时弹幕】,1665551632163,2022-10-12 13:13:52,爱芝昴,领券下单更优惠
【用户正在购买】,1665551634062,2022-10-12 13:13:54,jd_150162dvn,Top
【主播推送商品】,1665551639508,2022-10-12 13:13:59,主播,137号
【主播推送商品】,1665551643449,2022-10-12 13:14:03,主播,137号
【实时弹幕】,1665551645358,2022-10-12 13:14:05,叶子720313,领券下单更优惠
【用户正在购买】,1665551646263,2022-10-12 13:14:06,jd_159387vke,137号
【主播推送商品】,1665551648705,2022-10-12 13:14:08,主播,137号
【主播推送商品】,1665551651379,2022-10-12 13:14:11,主播,137号
【用户正在购买】,1665551653555,2022-10-12 13:14:13,以沫-初夏ing,137号
【用户正在购买】,1665551671936,2022-10-12 13:14:31,fSHDGZTKSkri,139号
【用户领券】,1665551684889,2022-10-12 13:14:44,jd_189330grs,领取了满169减70元券
【用户正在购买】,1665551685035,2022-10-12 13:14:45,fSHDGZTKSkri,138号
【用户正在购买】,1665551687726,2022-10-12 13:14:47,jd_134506ejp,129号
【主播推送商品】,1665551743475,2022-10-12 13:15:43,主播,137号
【用户正在购买】,1665551751712,2022-10-12 13:15:51,jd_134506ejp,65号
【主播推送商品】,1665551851404,2022-10-12 13:17:31,主播,137号
【主播推送商品】,1665551892961,2022-10-12 13:18:12,主播,137号
【用户关注】,1665551954781,2022-10-12 13:19:14,jd_qzcwoZbtunya
【主播推送商品】,1665551964863,2022-10-12 13:19:24,主播,137号
【主播推送商品】,1665552034113,2022-10-12 13:20:34,主播,130号
【实时弹幕】,1665552084580,2022-10-12 13:21:24,johnson1971,领券下单更优惠
【实时弹幕】,1665552086856,2022-10-12 13:21:26,SXX1044771491,领券下单更优惠
【用户关注】,1665552087011,2022-10-12 13:21:27,SXX1044771491
【用户正在购买】,1665552125369,2022-10-12 13:22:05,比夜难受吧,128号
【实时弹幕】,1665552167244,2022-10-12 13:22:47,黑色的加菲猫,领券下单更优惠
【用户正在购买】,1665552198508,2022-10-12 13:23:18,jd_133245fls,135号
【实时弹幕】,1665552221894,2022-10-12 13:23:41,jd_ZsgwujPfPvyd,板栗仁怎么买划算
【用户领券】,1665552229199,2022-10-12 13:23:49,Px_丫头,领取了满169减70元券
【用户领券】,1665552233200,2022-10-12 13:23:53,Px_丫头,领取了满99减40元券
【用户正在购买】,1665552234090,2022-10-12 13:23:54,Px_丫头,Top
【用户领券】,1665552238279,2022-10-12 13:23:58,Px_丫头,领取了满20减5元券
【用户加入购物车】,1665552257374,2022-10-12 13:24:17,Px_丫头,64号
【用户正在购买】,1665552292951,2022-10-12 13:24:52,jd_158106lva,128号
【主播推送商品】,1665552293438,2022-10-12 13:24:53,主播,130号
【用户正在购买】,1665552296958,2022-10-12 13:24:56,jd_uBwezSOArMgb,11号
【用户领券】,1665552311999,2022-10-12 13:25:11,jd_739ae271aa711,领取了满169减70元券
【用户正在购买】,1665552351781,2022-10-12 13:25:51,jd_uBwezSOArMgb,14号
【用户正在购买】,1665552355321,2022-10-12 13:25:55,jd_uBwezSOArMgb,16号
【用户正在购买】,1665552355728,2022-10-12 13:25:55,jd_739ae271aa711,Top
【用户正在购买】,1665552367697,2022-10-12 13:26:07,jd_eEnmJgQATUoM,79号
