【主播推送商品】,1664347579013,2022-09-28 14:46:19,主播,64号
【用户正在购买】,1664347579996,2022-09-28 14:46:19,jd_pajIGBxiZNgh,64号
【主播正在讲解】,1664347588015,2022-09-28 14:46:28,主播,64号
【主播弹幕】,1664347588029,2022-09-28 14:46:28,主播,正在讲解64号宝贝
【主播开始讲解】,1664347588067,2022-09-28 14:46:28,主播,64
【实时弹幕】,1664347590914,2022-09-28 14:46:30,jd_7b97b41a7be85,领券享专属优惠
【用户正在购买】,1664347613369,2022-09-28 14:46:53,weisina521,127号
【用户正在购买】,1664347626486,2022-09-28 14:47:06,weisina521,138号
【用户正在购买】,1664347648055,2022-09-28 14:47:28,jd_60fffbb51f2cf,64号
【用户正在购买】,1664347655842,2022-09-28 14:47:35,htsjwql,39号
【实时弹幕】,1664347679518,2022-09-28 14:47:59,jtonicpjy,领券享专属优惠
【主播结束讲解】,1664347683038,2022-09-28 14:48:03,主播,64
【用户正在购买】,1664347686523,2022-09-28 14:48:06,weisina521,67号
【主播推送商品】,1664347695488,2022-09-28 14:48:15,主播,63号
【主播推送商品】,1664347695761,2022-09-28 14:48:15,主播,63号
【用户正在购买】,1664347696700,2022-09-28 14:48:16,jd_pajIGBxiZNgh,63号
【用户正在购买】,1664347701082,2022-09-28 14:48:21,htsjwql,140号
【主播正在讲解】,1664347710196,2022-09-28 14:48:30,主播,63号
【主播弹幕】,1664347710211,2022-09-28 14:48:30,主播,正在讲解63号宝贝
【主播开始讲解】,1664347710287,2022-09-28 14:48:30,主播,63
【用户正在购买】,1664347738627,2022-09-28 14:48:58,银桑的草莓胖次-,135号
【用户正在购买】,1664347767735,2022-09-28 14:49:27,senor_chen,144号
【主播结束讲解】,1664347815519,2022-09-28 14:50:15,主播,63
【主播推送商品】,1664347819874,2022-09-28 14:50:19,主播,62号
【主播推送商品】,1664347820072,2022-09-28 14:50:20,主播,62号
【主播推送商品】,1664347820408,2022-09-28 14:50:20,主播,62号
【用户正在购买】,1664347821456,2022-09-28 14:50:21,jd_pajIGBxiZNgh,62号
【实时弹幕】,1664347828251,2022-09-28 14:50:28,银桑的草莓胖次-,领券享专属优惠
【用户关注】,1664347828306,2022-09-28 14:50:28,银桑的草莓胖次-
【用户正在购买】,1664347828572,2022-09-28 14:50:28,jd_6f110bcbde8b4,85号
【主播正在讲解】,1664347831330,2022-09-28 14:50:31,主播,62号
【主播弹幕】,1664347831346,2022-09-28 14:50:31,主播,正在讲解62号宝贝
【主播开始讲解】,1664347831384,2022-09-28 14:50:31,主播,62
【用户正在购买】,1664347839319,2022-09-28 14:50:39,senor_chen,144号
【用户正在购买】,1664347851757,2022-09-28 14:50:51,senor_chen,144号
【实时弹幕】,1664347884549,2022-09-28 14:51:24,张维果丶,领券享专属优惠
【实时弹幕】,1664347893484,2022-09-28 14:51:33,jd_zhuoha0,领券享专属优惠
【用户正在购买】,1664347897719,2022-09-28 14:51:37,jd_7061c3ac79f6e,52号
【主播结束讲解】,1664347912656,2022-09-28 14:51:52,主播,62
【主播推送商品】,1664347919072,2022-09-28 14:51:59,主播,60号
【主播推送商品】,1664347919287,2022-09-28 14:51:59,主播,60号
【用户正在购买】,1664347920731,2022-09-28 14:52:00,jd_pajIGBxiZNgh,60号
【主播正在讲解】,1664347937446,2022-09-28 14:52:17,主播,60号
【主播弹幕】,1664347937459,2022-09-28 14:52:17,主播,正在讲解60号宝贝
【主播开始讲解】,1664347937504,2022-09-28 14:52:17,主播,60
【用户正在购买】,1664347955639,2022-09-28 14:52:35,jd_152745qtol,60号
【用户正在购买】,1664347957312,2022-09-28 14:52:37,心之所向1001,147号
【用户正在购买】,1664347961661,2022-09-28 14:52:41,jd_XVApDgLTqJFt,132号
【用户正在购买】,1664347963985,2022-09-28 14:52:43,雪山可可,60号
【用户正在购买】,1664347967164,2022-09-28 14:52:47,雪山可可,60号
【实时弹幕】,1664347977284,2022-09-28 14:52:57,小崔说不说事,领券享专属优惠
【用户正在购买】,1664347980055,2022-09-28 14:53:00,雪山可可,139号
【用户正在购买】,1664347991551,2022-09-28 14:53:11,mgxds,26号
【用户正在购买】,1664348005164,2022-09-28 14:53:25,天天小小震,5号
【主播结束讲解】,1664348025399,2022-09-28 14:53:45,主播,60
【主播推送商品】,1664348030829,2022-09-28 14:53:50,主播,59号
【主播推送商品】,1664348030993,2022-09-28 14:53:50,主播,59号
【用户正在购买】,1664348032095,2022-09-28 14:53:52,jd_pajIGBxiZNgh,59号
【实时弹幕】,1664348040090,2022-09-28 14:54:00,htsjwql,领券享专属优惠
【用户关注】,1664348040159,2022-09-28 14:54:00,htsjwql
【主播正在讲解】,1664348044191,2022-09-28 14:54:04,主播,59号
【主播弹幕】,1664348044207,2022-09-28 14:54:04,主播,正在讲解59号宝贝
【主播开始讲解】,1664348044229,2022-09-28 14:54:04,主播,59
【用户正在购买】,1664348049844,2022-09-28 14:54:09,雪山可可,83号
【用户正在购买】,1664348062575,2022-09-28 14:54:22,雪山可可,80号
【用户加入购物车】,1664348091869,2022-09-28 14:54:51,D186*****903,139号
【用户正在购买】,1664348097638,2022-09-28 14:54:57,D186*****903,139号
【用户正在购买】,1664348127111,2022-09-28 14:55:27,jd_137004ons,5号
【主播结束讲解】,1664348130667,2022-09-28 14:55:30,主播,59
【用户正在购买】,1664348130948,2022-09-28 14:55:30,jd_LAaEcmmQMZgX,102号
【用户正在购买】,1664348139211,2022-09-28 14:55:39,lkc218,97号
【实时弹幕】,1664348153406,2022-09-28 14:55:53,lujiushi1780976910,领券享专属优惠
【用户正在购买】,1664348154083,2022-09-28 14:55:54,银桑的草莓胖次-,135号
【主播推送商品】,1664348163993,2022-09-28 14:56:03,主播,56号
【主播推送商品】,1664348164138,2022-09-28 14:56:04,主播,56号
【主播推送商品】,1664348167137,2022-09-28 14:56:07,主播,56号
【主播推送商品】,1664348167360,2022-09-28 14:56:07,主播,56号
【用户正在购买】,1664348168291,2022-09-28 14:56:08,jd_pajIGBxiZNgh,56号
【主播正在讲解】,1664348181323,2022-09-28 14:56:21,主播,56号
【主播弹幕】,1664348181336,2022-09-28 14:56:21,主播,正在讲解56号宝贝
【主播开始讲解】,1664348181533,2022-09-28 14:56:21,主播,56
【用户正在购买】,1664348192178,2022-09-28 14:56:32,jd_4007a2fe10b5f,56号
【实时弹幕】,1664348199764,2022-09-28 14:56:39,啦格朗日柯西,领券享专属优惠
【实时弹幕】,1664348210203,2022-09-28 14:56:50,jd_150703cee,领券享专属优惠
【实时弹幕】,1664348219716,2022-09-28 14:56:59,htsjwql,请问我领的券怎么用啊？
【用户正在购买】,1664348221662,2022-09-28 14:57:01,nb476965345,06号
【用户正在购买】,1664348242485,2022-09-28 14:57:22,u_2jwr53mqljnd,09号
【实时弹幕】,1664348249154,2022-09-28 14:57:29,htsjwql,美女我领的券怎么用啊？
【用户正在购买】,1664348265079,2022-09-28 14:57:45,jd_ugxALazULXoY,56号
【主播结束讲解】,1664348268753,2022-09-28 14:57:48,主播,56
【用户正在购买】,1664348300638,2022-09-28 14:58:20,一路向北心,138号
【主播推送商品】,1664348303861,2022-09-28 14:58:23,主播,55号
【主播推送商品】,1664348303946,2022-09-28 14:58:23,主播,55号
【用户正在购买】,1664348305081,2022-09-28 14:58:25,jd_pajIGBxiZNgh,55号
【用户正在购买】,1664348310043,2022-09-28 14:58:30,一路向北心,138号
【主播正在讲解】,1664348315852,2022-09-28 14:58:35,主播,55号
【主播弹幕】,1664348315866,2022-09-28 14:58:35,主播,正在讲解55号宝贝
【主播开始讲解】,1664348315949,2022-09-28 14:58:35,主播,55
【用户正在购买】,1664348368103,2022-09-28 14:59:28,奔跑吧屁噔,142号
【用户正在购买】,1664348396690,2022-09-28 14:59:56,ninoba,65号
【用户正在购买】,1664348407511,2022-09-28 15:00:07,luckkydog,58号
【主播结束讲解】,1664348408781,2022-09-28 15:00:08,主播,55
【主播推送商品】,1664348412996,2022-09-28 15:00:12,主播,53号
【主播推送商品】,1664348413184,2022-09-28 15:00:13,主播,53号
【用户正在购买】,1664348414337,2022-09-28 15:00:14,jd_pajIGBxiZNgh,53号
【主播正在讲解】,1664348419612,2022-09-28 15:00:19,主播,53号
【主播弹幕】,1664348419633,2022-09-28 15:00:19,主播,正在讲解53号宝贝
【主播开始讲解】,1664348419747,2022-09-28 15:00:19,主播,53
【用户正在购买】,1664348423087,2022-09-28 15:00:23,奔跑吧屁噔,53号
【用户正在购买】,1664348467483,2022-09-28 15:01:07,jd_kTEwjrmLwPgn,141号
【主播结束讲解】,1664348500755,2022-09-28 15:01:40,主播,53
【主播推送商品】,1664348538734,2022-09-28 15:02:18,主播,52号
【主播推送商品】,1664348538908,2022-09-28 15:02:18,主播,52号
【用户正在购买】,1664348539873,2022-09-28 15:02:19,jd_pajIGBxiZNgh,52号
【主播正在讲解】,1664348549560,2022-09-28 15:02:29,主播,52号
【主播弹幕】,1664348549574,2022-09-28 15:02:29,主播,正在讲解52号宝贝
【主播开始讲解】,1664348549716,2022-09-28 15:02:29,主播,52
【用户正在购买】,1664348562199,2022-09-28 15:02:42,jd_182219dih,52号
【实时弹幕】,1664348581558,2022-09-28 15:03:01,jd风影26,领券享专属优惠
【用户正在购买】,1664348582997,2022-09-28 15:03:02,jd_5c6acdfb6dc5b,124号
【用户正在购买】,1664348606004,2022-09-28 15:03:26,jd_182219dih,52号
【主播结束讲解】,1664348616759,2022-09-28 15:03:36,主播,52
【实时弹幕】,1664348621196,2022-09-28 15:03:41,wei132110,领券享专属优惠
【用户关注】,1664348621339,2022-09-28 15:03:41,wei132110
【实时弹幕】,1664348657280,2022-09-28 15:04:17,jd_624*****490c4,领券享专属优惠
【主播推送商品】,1664348664814,2022-09-28 15:04:24,主播,50号
【主播推送商品】,1664348664968,2022-09-28 15:04:24,主播,50号
【用户正在购买】,1664348665942,2022-09-28 15:04:25,jd_pajIGBxiZNgh,50号
【主播正在讲解】,1664348677575,2022-09-28 15:04:37,主播,50号
【主播弹幕】,1664348677589,2022-09-28 15:04:37,主播,正在讲解50号宝贝
【主播开始讲解】,1664348677624,2022-09-28 15:04:37,主播,50
【用户正在购买】,1664348694714,2022-09-28 15:04:54,ownvoice,51号
【用户正在购买】,1664348704022,2022-09-28 15:05:04,jd_263305177,06号
【用户正在购买】,1664348722724,2022-09-28 15:05:22,HRL7,50号
【实时弹幕】,1664348730543,2022-09-28 15:05:30,风聆风聆,领券享专属优惠
【实时弹幕】,1664348772943,2022-09-28 15:06:12,jd_158585pgj,领券享专属优惠
【主播结束讲解】,1664348773767,2022-09-28 15:06:13,主播,50
【用户正在购买】,1664348778531,2022-09-28 15:06:18,Dido-812,65号
【主播推送商品】,1664348784352,2022-09-28 15:06:24,主播,49号
【主播推送商品】,1664348784499,2022-09-28 15:06:24,主播,49号
【用户正在购买】,1664348785866,2022-09-28 15:06:25,jd_pajIGBxiZNgh,49号
【主播正在讲解】,1664348803601,2022-09-28 15:06:43,主播,49号
【主播弹幕】,1664348803619,2022-09-28 15:06:43,主播,正在讲解49号宝贝
【主播开始讲解】,1664348803650,2022-09-28 15:06:43,主播,49
【实时弹幕】,1664348872789,2022-09-28 15:07:52,jd_180895ovf,领券享专属优惠
【用户正在购买】,1664348873050,2022-09-28 15:07:53,jd_kolsum,66号
【主播结束讲解】,1664348877618,2022-09-28 15:07:57,主播,49
【用户正在购买】,1664348892723,2022-09-28 15:08:12,u_yvgqiyxbm77n,125号
【用户正在购买】,1664348896595,2022-09-28 15:08:16,紫藤恋茗,135号
【实时弹幕】,1664348901105,2022-09-28 15:08:21,simon_jn_chen,领券享专属优惠
【实时弹幕】,1664348904174,2022-09-28 15:08:24,Dido-812,领券享专属优惠
【用户关注】,1664348904275,2022-09-28 15:08:24,Dido-812
【用户正在购买】,1664348924549,2022-09-28 15:08:44,紫藤恋茗,135号
【用户关注】,1664348925502,2022-09-28 15:08:45,u_yvgqiyxbm77n
【主播推送商品】,1664348928408,2022-09-28 15:08:48,主播,48号
【用户正在购买】,1664348929799,2022-09-28 15:08:49,jd_pajIGBxiZNgh,48号
【用户加入购物车】,1664348929948,2022-09-28 15:08:49,Dido-812,65号
【用户正在购买】,1664348932781,2022-09-28 15:08:52,紫藤恋茗,135号
【主播正在讲解】,1664348941962,2022-09-28 15:09:01,主播,48号
【主播弹幕】,1664348941976,2022-09-28 15:09:01,主播,正在讲解48号宝贝
【主播开始讲解】,1664348942055,2022-09-28 15:09:02,主播,48
【用户正在购买】,1664348952659,2022-09-28 15:09:12,紫藤恋茗,135号
【实时弹幕】,1664348953990,2022-09-28 15:09:13,u_etlitdmo6tml,领券享专属优惠
【实时弹幕】,1664349027665,2022-09-28 15:10:27,leslie69,领券享专属优惠
【主播结束讲解】,1664349028952,2022-09-28 15:10:28,主播,48
【主播推送商品】,1664349044679,2022-09-28 15:10:44,主播,47号
【主播推送商品】,1664349044819,2022-09-28 15:10:44,主播,47号
【用户正在购买】,1664349045861,2022-09-28 15:10:45,jd_pajIGBxiZNgh,47号
【主播正在讲解】,1664349063776,2022-09-28 15:11:03,主播,47号
【主播弹幕】,1664349063786,2022-09-28 15:11:03,主播,正在讲解47号宝贝
【主播开始讲解】,1664349063863,2022-09-28 15:11:03,主播,47
