【实时弹幕】,1664258075025,2022-09-27 13:54:35,u_4smxttu1pn37,领券享专属优惠
【主播正在讲解】,1664258081893,2022-09-27 13:54:41,主播,70号
【主播弹幕】,1664258081902,2022-09-27 13:54:41,主播,正在讲解70号宝贝
【主播开始讲解】,1664258081924,2022-09-27 13:54:41,主播,70
【用户正在购买】,1664258088608,2022-09-27 13:54:48,孙伟梅,70号
【用户正在购买】,1664258102878,2022-09-27 13:55:02,布衣微尘,85号
【用户正在购买】,1664258114717,2022-09-27 13:55:14,jd_LaylisgDLyOc,70号
【实时弹幕】,1664258132483,2022-09-27 13:55:32,xhwendy,领券享专属优惠
【主播结束讲解】,1664258165653,2022-09-27 13:56:05,主播,70
【主播推送商品】,1664258190139,2022-09-27 13:56:30,主播,69号
【主播推送商品】,1664258190171,2022-09-27 13:56:30,主播,69号
【用户正在购买】,1664258191380,2022-09-27 13:56:31,jd_pajIGBxiZNgh,69号
【用户正在购买】,1664258192356,2022-09-27 13:56:32,机器猫2577,69号
【主播正在讲解】,1664258200396,2022-09-27 13:56:40,主播,69号
【主播弹幕】,1664258200409,2022-09-27 13:56:40,主播,正在讲解69号宝贝
【主播开始讲解】,1664258200606,2022-09-27 13:56:40,主播,69
【用户正在购买】,1664258202679,2022-09-27 13:56:42,机器猫2577,124号
【实时弹幕】,1664258215984,2022-09-27 13:56:55,demi_316,领券享专属优惠
【用户正在购买】,1664258241480,2022-09-27 13:57:21,demi_316,132号
【用户正在购买】,1664258247349,2022-09-27 13:57:27,jd_159051xyc,121号
【用户正在购买】,1664258261852,2022-09-27 13:57:41,jd_135834igs,101号
【主播结束讲解】,1664258272416,2022-09-27 13:57:52,主播,69
【主播推送商品】,1664258279549,2022-09-27 13:57:59,主播,68号
【主播推送商品】,1664258279799,2022-09-27 13:57:59,主播,68号
【用户正在购买】,1664258281213,2022-09-27 13:58:01,jd_pajIGBxiZNgh,68号
【实时弹幕】,1664258295069,2022-09-27 13:58:15,jd_159051xyc,领券享专属优惠
【用户正在购买】,1664258297197,2022-09-27 13:58:17,jd_152570dlti,03号
【主播正在讲解】,1664258298062,2022-09-27 13:58:18,主播,68号
【主播弹幕】,1664258298076,2022-09-27 13:58:18,主播,正在讲解68号宝贝
【主播开始讲解】,1664258298113,2022-09-27 13:58:18,主播,68
【用户正在购买】,1664258308930,2022-09-27 13:58:28,浅浅呀2021,130号
【实时弹幕】,1664258318130,2022-09-27 13:58:38,jd_tiex012,领券享专属优惠
【实时弹幕】,1664258335009,2022-09-27 13:58:55,adannchen,领券享专属优惠
【用户正在购买】,1664258346161,2022-09-27 13:59:06,adannchen,143号
【用户正在购买】,1664258348507,2022-09-27 13:59:08,jd_159051xyc,121号
【主播结束讲解】,1664258401549,2022-09-27 14:00:01,主播,68
【实时弹幕】,1664258591234,2022-09-27 14:03:11,jd_151965shp,领券享专属优惠
【用户正在购买】,1664258634525,2022-09-27 14:03:54,Sven_L,70号
【实时弹幕】,1664258665915,2022-09-27 14:04:25,syjddtk,领券享专属优惠
【实时弹幕】,1664258666272,2022-09-27 14:04:26,an135*****806,领券享专属优惠
【实时弹幕】,1664258670908,2022-09-27 14:04:30,jd_GgeONgWDlkuw,领券享专属优惠
【用户正在购买】,1664258675904,2022-09-27 14:04:35,jd_kJezszFetHQI,130号
