【主播正在讲解】,1665551286260,2022-10-12 13:08:06,主播,40号
【主播弹幕】,1665551286277,2022-10-12 13:08:06,主播,正在讲解40号宝贝
【主播开始讲解】,1665551286414,2022-10-12 13:08:06,主播,40
【用户正在购买】,1665551303844,2022-10-12 13:08:23,一婷0428,132号
【用户正在购买】,1665551307401,2022-10-12 13:08:27,一婷0428,132号
【用户正在购买】,1665551348505,2022-10-12 13:09:08,jd_151513epp,52号
【主播结束讲解】,1665551349950,2022-10-12 13:09:09,主播,40
【主播正在讲解】,1665551358825,2022-10-12 13:09:18,主播,39号
【主播弹幕】,1665551358843,2022-10-12 13:09:18,主播,正在讲解39号宝贝
【主播开始讲解】,1665551358906,2022-10-12 13:09:18,主播,39
【用户正在购买】,1665551360857,2022-10-12 13:09:20,jd_151513epp,39号
【实时弹幕】,1665551423795,2022-10-12 13:10:23,jd_135215qtf,领券享专属优惠
【实时弹幕】,1665551426744,2022-10-12 13:10:26,scyscyscyscyscy,领券享专属优惠
【主播结束讲解】,1665551426960,2022-10-12 13:10:26,主播,39
【用户正在购买】,1665551429992,2022-10-12 13:10:29,scyscyscyscyscy,71号
【主播正在讲解】,1665551460756,2022-10-12 13:11:00,主播,37号
【主播弹幕】,1665551460769,2022-10-12 13:11:00,主播,正在讲解37号宝贝
【主播开始讲解】,1665551460809,2022-10-12 13:11:00,主播,37
【实时弹幕】,1665551486551,2022-10-12 13:11:26,hendry0354,领券享专属优惠
【用户正在购买】,1665551491102,2022-10-12 13:11:31,家丝,57号
【实时弹幕】,1665551507590,2022-10-12 13:11:47,jd_一年级的学生,领券享专属优惠
【实时弹幕】,1665551519513,2022-10-12 13:11:59,jd_181087lmn,领券享专属优惠
【用户关注】,1665551519623,2022-10-12 13:11:59,jd_181087lmn
【主播结束讲解】,1665551529143,2022-10-12 13:12:09,主播,37
【用户正在购买】,1665551537005,2022-10-12 13:12:17,jd_EClDhieLxfjV,140号
【主播正在讲解】,1665551568661,2022-10-12 13:12:48,主播,36号
【主播弹幕】,1665551568675,2022-10-12 13:12:48,主播,正在讲解36号宝贝
【主播开始讲解】,1665551568736,2022-10-12 13:12:48,主播,36
【用户正在购买】,1665551580253,2022-10-12 13:13:00,jd_EClDhieLxfjV,96号
【用户正在购买】,1665551613525,2022-10-12 13:13:33,JessiceLun,36号
