【用户加入购物车】,1656651317074,2022-07-01 12:55:17,原来是胡图图吖,75号
【用户加入购物车】,1656651322932,2022-07-01 12:55:22,原来是胡图图吖,78号
【用户加入购物车】,1656651353971,2022-07-01 12:55:53,jd_183467ssk,114号
【主播弹幕】,1656651362535,2022-07-01 12:56:02,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651365986,2022-07-01 12:56:05,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651368352,2022-07-01 12:56:08,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651370834,2022-07-01 12:56:10,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651373369,2022-07-01 12:56:13,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【用户正在购买】,1656651404923,2022-07-01 12:56:44,肥鱼61,109号
【用户加入购物车】,1656651408553,2022-07-01 12:56:48,jd_183467ssk,131号
【实时弹幕】,1656651463708,2022-07-01 12:57:43,jd_183467ssk,下完单了
【实时弹幕】,1656651473222,2022-07-01 12:57:53,jd_183467ssk,抽奖
【用户关注】,1656651475790,2022-07-01 12:57:55,jd_183467ssk
【实时弹幕】,1656651483528,2022-07-01 12:58:03,jd_183467ssk,关注了
【实时弹幕】,1656651503335,2022-07-01 12:58:23,jd_183467ssk,零食就买百草味
【实时弹幕】,1656651532802,2022-07-01 12:58:52,jd_183467ssk,零食就买百草味
【实时弹幕】,1656651592541,2022-07-01 12:59:52,jd_183467ssk,怎么兑奖啊
【用户正在购买】,1656651633530,2022-07-01 13:00:33,jd_183467ssk,131号
【用户正在购买】,1656651637268,2022-07-01 13:00:37,kxmao985,131号
【用户领券】,1656651647758,2022-07-01 13:00:47,kxmao985,领取了满300减200元券
【用户领券】,1656651650054,2022-07-01 13:00:50,kxmao985,领取了满199减130元券
【用户正在购买】,1656651653413,2022-07-01 13:00:53,kxmao985,131号
【主播弹幕】,1656651702120,2022-07-01 13:01:42,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651702603,2022-07-01 13:01:42,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651702935,2022-07-01 13:01:42,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651703244,2022-07-01 13:01:43,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651703633,2022-07-01 13:01:43,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播弹幕】,1656651704013,2022-07-01 13:01:44,主播,1-78号199-130！！实付满69整点全屏抽零食！！
【主播正在讲解】,1656651723990,2022-07-01 13:02:03,主播,95号
【主播弹幕】,1656651724005,2022-07-01 13:02:04,主播,正在讲解95号宝贝
【主播开始讲解】,1656651727170,2022-07-01 13:02:07,主播,95
【实时弹幕】,1656651768219,2022-07-01 13:02:48,kxmao985,买了个8斤的大礼包
【主播推送商品】,1656651814233,2022-07-01 13:03:34,主播,95号
【主播推送商品】,1656651814249,2022-07-01 13:03:34,主播,95号
【主播推送商品】,1656651814379,2022-07-01 13:03:34,主播,95号
【主播结束讲解】,1656651815397,2022-07-01 13:03:35,主播,95
【用户加入购物车】,1656651851340,2022-07-01 13:04:11,kxmao985,131号
【用户正在购买】,1656651852678,2022-07-01 13:04:12,kxmao985,131号
【实时弹幕】,1656651870638,2022-07-01 13:04:30,kxmao985,168的那款
【实时弹幕】,1656651893168,2022-07-01 13:04:53,kxmao985,168元的
【用户进入店铺】,1656651902206,2022-07-01 13:05:02,kxmao985,1000003685
【实时弹幕】,1656651937731,2022-07-01 13:05:37,kxmao985,有啥奖品
【用户加入购物车】,1656652008266,2022-07-01 13:06:48,kxmao985,95号
【用户加入购物车】,1656652015813,2022-07-01 13:06:55,kxmao985,131号
【用户正在购买】,1656652018332,2022-07-01 13:06:58,kxmao985,131号
【实时弹幕】,1656652197473,2022-07-01 13:09:57,kxmao985,实付金额176元
【主播弹幕】,1656652448403,2022-07-01 13:14:08,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652448919,2022-07-01 13:14:08,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652449115,2022-07-01 13:14:09,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652449508,2022-07-01 13:14:09,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
