【实时弹幕】,1657869222126,2022-07-15 15:13:42,智窗高,我懂了，你骑的是共享单车 🤔
【用户关注】,1657869286005,2022-07-15 15:14:46,jd_eOckuBdnALWE
【用户正在购买】,1657869287725,2022-07-15 15:14:47,jd_eOckuBdnALWE,113号
【实时弹幕】,1657869310687,2022-07-15 15:15:10,智窗高,很辣没事，我怕苦 😳
【主播正在讲解】,1657869345297,2022-07-15 15:15:45,主播,1号
【主播弹幕】,1657869345312,2022-07-15 15:15:45,主播,正在讲解1号宝贝
【主播开始讲解】,1657869345321,2022-07-15 15:15:45,主播,1
【主播结束讲解】,1657869435872,2022-07-15 15:17:15,主播,1
【实时弹幕】,1657869453349,2022-07-15 15:17:33,智窗高,我因为减肥饿得慌，刚才去拿开心果，手一滑扣地上了，捡了半天 🤪
【用户正在购买】,1657869457883,2022-07-15 15:17:37,jd_177361gwro,118号
【主播弹幕】,1657869507575,2022-07-15 15:18:27,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【实时弹幕】,1657869530234,2022-07-15 15:18:50,智窗高,都是因为太饿了 😳
【用户正在购买】,1657869533239,2022-07-15 15:18:53,u_ogqg4kmdlhhh,105号
【用户正在购买】,1657869551652,2022-07-15 15:19:11,jd_69360a9ac0084,24号
【用户正在购买】,1657869577119,2022-07-15 15:19:37,u_ogqg4kmdlhhh,105号
【实时弹幕】,1657869598581,2022-07-15 15:19:58,智窗高,为了早日脱单，我也是拼了 😅
【用户加入购物车】,1657869617722,2022-07-15 15:20:17,jd_177361gwro,113号
【用户加入购物车】,1657869624275,2022-07-15 15:20:24,jd_177361gwro,109号
【用户正在购买】,1657869633133,2022-07-15 15:20:33,jd_177361gwro,104号
【用户正在购买】,1657869638705,2022-07-15 15:20:38,jd_IqUnnVrdcAyd,122号
【用户加入购物车】,1657869648604,2022-07-15 15:20:48,jd_177361gwro,98号
【实时弹幕】,1657869650392,2022-07-15 15:20:50,智窗高,来个吃播吧 😛
【用户加入购物车】,1657869665244,2022-07-15 15:21:05,jd_177361gwro,91号
【主播正在讲解】,1657869670178,2022-07-15 15:21:10,主播,2号
【主播弹幕】,1657869670195,2022-07-15 15:21:10,主播,正在讲解2号宝贝
【主播开始讲解】,1657869670298,2022-07-15 15:21:10,主播,2
【主播结束讲解】,1657869758120,2022-07-15 15:22:38,主播,2
【主播弹幕】,1657869912731,2022-07-15 15:25:12,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657869915073,2022-07-15 15:25:15,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657869923169,2022-07-15 15:25:23,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657869965579,2022-07-15 15:26:05,主播,7号
【主播弹幕】,1657869965596,2022-07-15 15:26:05,主播,正在讲解7号宝贝
【主播开始讲解】,1657869965808,2022-07-15 15:26:05,主播,7
【用户正在购买】,1657870021630,2022-07-15 15:27:01,jd_159710qvkx,118号
【用户分享直播间】,1657870053121,2022-07-15 15:27:33,哈哈哈嘚
【主播结束讲解】,1657870080885,2022-07-15 15:28:00,主播,7
【主播弹幕】,1657870180937,2022-07-15 15:29:40,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657870184177,2022-07-15 15:29:44,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【实时弹幕】,1657870192640,2022-07-15 15:29:52,我是半仁,为什么还要运费
【用户领券】,1657870200261,2022-07-15 15:30:00,我是半仁,领取了满300减200元券
【用户领券】,1657870203266,2022-07-15 15:30:03,我是半仁,领取了满199减130元券
【用户加入购物车】,1657870219271,2022-07-15 15:30:19,我是半仁,113号
【用户正在购买】,1657870226942,2022-07-15 15:30:26,我是半仁,108号
【用户加入购物车】,1657870236862,2022-07-15 15:30:36,我是半仁,108号
【用户正在购买】,1657870249511,2022-07-15 15:30:49,我是半仁,104号
【用户正在购买】,1657870273217,2022-07-15 15:31:13,我是半仁,96号
【主播弹幕】,1657870296655,2022-07-15 15:31:36,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657870299634,2022-07-15 15:31:39,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657870316137,2022-07-15 15:31:56,主播,8号
【主播弹幕】,1657870316151,2022-07-15 15:31:56,主播,正在讲解8号宝贝
【主播开始讲解】,1657870316167,2022-07-15 15:31:56,主播,8
【主播结束讲解】,1657870427998,2022-07-15 15:33:47,主播,8
【用户分享直播间】,1657870568049,2022-07-15 15:36:08,jd_PZSYtnOzMtVH
【用户正在购买】,1657870599744,2022-07-15 15:36:39,我是半仁,126号
【用户正在购买】,1657870614122,2022-07-15 15:36:54,我是半仁,122号
【用户正在购买】,1657870629828,2022-07-15 15:37:09,我是半仁,108号
【用户关注】,1657870643765,2022-07-15 15:37:23,jd_131817hhb
【用户正在购买】,1657870671499,2022-07-15 15:37:51,我是半仁,104号
【用户正在购买】,1657870686922,2022-07-15 15:38:06,我是半仁,96号
【用户正在购买】,1657870714279,2022-07-15 15:38:34,我是半仁,91号
【用户正在购买】,1657870748547,2022-07-15 15:39:08,我是半仁,90号
【用户正在购买】,1657870761672,2022-07-15 15:39:21,我是半仁,84号
【用户正在购买】,1657870778772,2022-07-15 15:39:38,我是半仁,65号
【主播正在讲解】,1657870844176,2022-07-15 15:40:44,主播,10号
【主播弹幕】,1657870844193,2022-07-15 15:40:44,主播,正在讲解10号宝贝
【主播开始讲解】,1657870844201,2022-07-15 15:40:44,主播,10
【实时弹幕】,1657870916924,2022-07-15 15:41:56,我是半仁,有什么活动啊
【实时弹幕】,1657870930372,2022-07-15 15:42:10,我是半仁,卖面包和肉松饼
【实时弹幕】,1657870948455,2022-07-15 15:42:28,我是半仁,是的
【主播推送商品】,1657870948916,2022-07-15 15:42:28,主播,113号
【主播推送商品】,1657870957543,2022-07-15 15:42:37,主播,108号
【用户加入购物车】,1657870994611,2022-07-15 15:43:14,我是半仁,108号
【用户正在购买】,1657870997958,2022-07-15 15:43:17,我是半仁,108号
【用户分享直播间】,1657871014776,2022-07-15 15:43:34,jd_733d4450ce858
【实时弹幕】,1657871029527,2022-07-15 15:43:49,我是半仁,直接送就行了
【实时弹幕】,1657871043110,2022-07-15 15:44:03,我是半仁,多少就包邮
【用户正在购买】,1657871056839,2022-07-15 15:44:16,u_12hpejd7c5ps,105号
【用户正在购买】,1657871060673,2022-07-15 15:44:20,jd_138983prf,119号
【用户加入购物车】,1657871062632,2022-07-15 15:44:22,u_ba6cvuzgmuzy,10号
【实时弹幕】,1657871076297,2022-07-15 15:44:36,我是半仁,孩子吃的饼干还有吗
【用户正在购买】,1657871099419,2022-07-15 15:44:59,我是半仁,10号
【实时弹幕】,1657871115373,2022-07-15 15:45:15,我是半仁,3岁左右
【主播推送商品】,1657871116293,2022-07-15 15:45:16,主播,96号
【用户分享直播间】,1657871127341,2022-07-15 15:45:27,IUmyaqJMPgXU
【用户正在购买】,1657871144870,2022-07-15 15:45:44,u_ba6cvuzgmuzy,130号
【主播推送商品】,1657871145361,2022-07-15 15:45:45,主播,104号
【主播结束讲解】,1657871152503,2022-07-15 15:45:52,主播,10
【实时弹幕】,1657871159854,2022-07-15 15:45:59,我是半仁,一包多少克
【实时弹幕】,1657871191364,2022-07-15 15:46:31,我是半仁,几号链接
【主播推送商品】,1657871195519,2022-07-15 15:46:35,主播,96号
【用户正在购买】,1657871197861,2022-07-15 15:46:37,我是半仁,96号
【主播推送商品】,1657871202144,2022-07-15 15:46:42,主播,96号
【用户正在购买】,1657871203872,2022-07-15 15:46:43,悠悠天地自在,96号
【实时弹幕】,1657871208308,2022-07-15 15:46:48,我是半仁,好的
【主播推送商品】,1657871211824,2022-07-15 15:46:51,主播,104号
【用户正在购买】,1657871214074,2022-07-15 15:46:54,悠悠天地自在,104号
【实时弹幕】,1657871223292,2022-07-15 15:47:03,我是半仁,好的
【主播正在讲解】,1657871233664,2022-07-15 15:47:13,主播,96号
【主播弹幕】,1657871233681,2022-07-15 15:47:13,主播,正在讲解96号宝贝
【用户正在购买】,1657871237662,2022-07-15 15:47:17,从圈圈开始,119号
【主播开始讲解】,1657871239698,2022-07-15 15:47:19,主播,96
【用户正在购买】,1657871313154,2022-07-15 15:48:33,jd_6ab131b890377,105号
【主播结束讲解】,1657871314387,2022-07-15 15:48:34,主播,96
【用户正在购买】,1657871336512,2022-07-15 15:48:56,我是半仁,96号
【用户领券】,1657871347280,2022-07-15 15:49:07,jd_WhQaojmtcVhM,领取了满300减200元券
【实时弹幕】,1657871358289,2022-07-15 15:49:18,我是半仁,两个链接都没有了
【用户加入购物车】,1657871377390,2022-07-15 15:49:37,QAQ何乐而不为,104号
【用户分享直播间】,1657871409892,2022-07-15 15:50:09,jd_153061ezxy
【实时弹幕】,1657871417015,2022-07-15 15:50:17,我是半仁,那我明天买吧
【实时弹幕】,1657871430474,2022-07-15 15:50:30,我是半仁,那个肉松饼小孩也可以吃吧
【主播推送商品】,1657871441148,2022-07-15 15:50:41,主播,113号
【主播推送商品】,1657871447014,2022-07-15 15:50:47,主播,108号
【用户正在购买】,1657871494890,2022-07-15 15:51:34,jd_152293tfr,125号
【实时弹幕】,1657871497195,2022-07-15 15:51:37,我是半仁,挺好吃的！上次妹妹给小孩吃了一个我尝了挺好吃的
【用户分享直播间】,1657871527390,2022-07-15 15:52:07,jd印
【用户正在购买】,1657871535341,2022-07-15 15:52:15,终将会是一场空,130号
【用户正在购买】,1657871541584,2022-07-15 15:52:21,终将会是一场空,129号
【实时弹幕】,1657871548837,2022-07-15 15:52:28,我是半仁,在这里买日期怎么样？
【用户正在购买】,1657871560018,2022-07-15 15:52:40,终将会是一场空,119号
【用户正在购买】,1657871565368,2022-07-15 15:52:45,jd_WhQaojmtcVhM,105号
【用户加入购物车】,1657871581139,2022-07-15 15:53:01,终将会是一场空,113号
【用户加入购物车】,1657871586066,2022-07-15 15:53:06,终将会是一场空,110号
【实时弹幕】,1657871587986,2022-07-15 15:53:07,我是半仁,从那里发货的陕西
【用户正在购买】,1657871607447,2022-07-15 15:53:27,终将会是一场空,80号
【用户正在购买】,1657871611959,2022-07-15 15:53:31,终将会是一场空,79号
【实时弹幕】,1657871615598,2022-07-15 15:53:35,我是半仁,好的！明天早上我来早点拍
【用户正在购买】,1657871627240,2022-07-15 15:53:47,终将会是一场空,129号
【用户加入购物车】,1657871630758,2022-07-15 15:53:50,终将会是一场空,129号
【用户正在购买】,1657871639446,2022-07-15 15:53:59,终将会是一场空,123号
【用户加入购物车】,1657871643822,2022-07-15 15:54:03,终将会是一场空,123号
【主播弹幕】,1657871645916,2022-07-15 15:54:05,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【实时弹幕】,1657871662370,2022-07-15 15:54:22,我是半仁,那个买199优惠30是买什么呢
【用户正在购买】,1657871664068,2022-07-15 15:54:24,终将会是一场空,80号
【用户加入购物车】,1657871682836,2022-07-15 15:54:42,终将会是一场空,62号
【用户正在购买】,1657871700543,2022-07-15 15:55:00,终将会是一场空,28号
【用户加入购物车】,1657871719592,2022-07-15 15:55:19,终将会是一场空,12号
【主播推送商品】,1657871728225,2022-07-15 15:55:28,主播,7号
【用户正在购买】,1657871730734,2022-07-15 15:55:30,终将会是一场空,04号
【用户加入购物车】,1657871735469,2022-07-15 15:55:35,终将会是一场空,04号
【主播推送商品】,1657871743214,2022-07-15 15:55:43,主播,33号
【实时弹幕】,1657871769644,2022-07-15 15:56:09,我是半仁,怎么加
【用户正在购买】,1657871820439,2022-07-15 15:57:00,jd_筱牧人,129号
【用户领券】,1657871869493,2022-07-15 15:57:49,jd_6ca7b7148c8c9,领取了满199减130元券
【用户领券】,1657871871293,2022-07-15 15:57:51,jd_6ca7b7148c8c9,领取了满300减200元券
【用户分享直播间】,1657871908339,2022-07-15 15:58:28,u_uvyx4h31l4wv
【主播弹幕】,1657871946620,2022-07-15 15:59:06,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657872084163,2022-07-15 16:01:24,主播,28号
【主播弹幕】,1657872084175,2022-07-15 16:01:24,主播,正在讲解28号宝贝
【主播开始讲解】,1657872084224,2022-07-15 16:01:24,主播,28
【主播结束讲解】,1657872159050,2022-07-15 16:02:39,主播,28
【实时弹幕】,1657872180792,2022-07-15 16:03:00,LZ__秋,刚刚想买115，五分钟就变120
【主播弹幕】,1657872269957,2022-07-15 16:04:29,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【用户正在购买】,1657872285155,2022-07-15 16:04:45,jd_561897f23dc40,126号
【用户领券】,1657872293231,2022-07-15 16:04:53,榠櫘呐,领取了满199减130元券
【用户领券】,1657872294525,2022-07-15 16:04:54,榠櫘呐,领取了满300减200元券
【用户领券】,1657872297592,2022-07-15 16:04:57,榠櫘呐,领取了满400减270元券
【用户正在购买】,1657872299923,2022-07-15 16:04:59,榠櫘呐,129号
【用户领券】,1657872301326,2022-07-15 16:05:01,jd_42a8b68316538,领取了满199减130元券
【用户领券】,1657872302063,2022-07-15 16:05:02,jd_42a8b68316538,领取了满300减200元券
【用户正在购买】,1657872302271,2022-07-15 16:05:02,jd_561897f23dc40,126号
【用户领券】,1657872303146,2022-07-15 16:05:03,jd_42a8b68316538,领取了满400减270元券
【用户加入购物车】,1657872308184,2022-07-15 16:05:08,jd_42a8b68316538,105号
【用户加入购物车】,1657872309549,2022-07-15 16:05:09,jd_42a8b68316538,105号
【用户正在购买】,1657872315080,2022-07-15 16:05:15,jd_561897f23dc40,123号
【用户正在购买】,1657872319921,2022-07-15 16:05:19,彩虹的秘密001,113号
【用户正在购买】,1657872373107,2022-07-15 16:06:13,榠櫘呐,80号
【用户正在购买】,1657872393716,2022-07-15 16:06:33,榠櫘呐,79号
【主播推送商品】,1657872413827,2022-07-15 16:06:53,主播,130号
【主播推送商品】,1657872458810,2022-07-15 16:07:38,主播,130号
【主播正在讲解】,1657872529694,2022-07-15 16:08:49,主播,11号
【主播弹幕】,1657872529713,2022-07-15 16:08:49,主播,正在讲解11号宝贝
【主播开始讲解】,1657872529747,2022-07-15 16:08:49,主播,11
【用户正在购买】,1657872554156,2022-07-15 16:09:14,终将会是一场空,130号
【用户正在购买】,1657872558455,2022-07-15 16:09:18,终将会是一场空,129号
【用户加入购物车】,1657872577650,2022-07-15 16:09:37,终将会是一场空,113号
【用户加入购物车】,1657872583047,2022-07-15 16:09:43,终将会是一场空,110号
【用户加入购物车】,1657872587776,2022-07-15 16:09:47,终将会是一场空,129号
【主播结束讲解】,1657872608286,2022-07-15 16:10:08,主播,11
【用户加入购物车】,1657872620048,2022-07-15 16:10:20,终将会是一场空,62号
【用户正在购买】,1657872687265,2022-07-15 16:11:27,金子00啊,105号
【用户正在购买】,1657872700134,2022-07-15 16:11:40,金子00啊,105号
【用户正在购买】,1657872850932,2022-07-15 16:14:10,u_2lbf2kj2apg7,129号
【实时弹幕】,1657872881974,2022-07-15 16:14:41,智窗高,还是七点挪窝吧 🤔
【用户正在购买】,1657872907277,2022-07-15 16:15:07,jd_ChCCCdWCIHul,110号
【主播弹幕】,1657872924243,2022-07-15 16:15:24,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657872930723,2022-07-15 16:15:30,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【实时弹幕】,1657872939534,2022-07-15 16:15:39,智窗高,音画相差大半秒 😳
【主播弹幕】,1657872940071,2022-07-15 16:15:40,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【用户正在购买】,1657872949976,2022-07-15 16:15:49,绝望的生鱼片丶,129号
【主播弹幕】,1657872989776,2022-07-15 16:16:29,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657872995155,2022-07-15 16:16:35,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657873054958,2022-07-15 16:17:34,主播,21号
【主播弹幕】,1657873054970,2022-07-15 16:17:34,主播,正在讲解21号宝贝
【主播开始讲解】,1657873055007,2022-07-15 16:17:35,主播,21
【用户正在购买】,1657873075341,2022-07-15 16:17:55,胡图图12333,129号
【实时弹幕】,1657873078576,2022-07-15 16:17:58,智窗高,主播是只小萌蛋 🥚
【主播结束讲解】,1657873134837,2022-07-15 16:18:54,主播,21
【实时弹幕】,1657873162169,2022-07-15 16:19:22,智窗高,不信！蛋黄肯定干涩无比 😏
【主播弹幕】,1657873173999,2022-07-15 16:19:33,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【用户领券】,1657873257443,2022-07-15 16:20:57,鹿鹿爱吃肉肉,领取了满199减130元券
【用户领券】,1657873259283,2022-07-15 16:20:59,鹿鹿爱吃肉肉,领取了满400减270元券
【用户领券】,1657873261412,2022-07-15 16:21:01,鹿鹿爱吃肉肉,领取了满300减200元券
【用户正在购买】,1657873271221,2022-07-15 16:21:11,鹿鹿爱吃肉肉,130号
【实时弹幕】,1657873364465,2022-07-15 16:22:44,智窗高,如果不想待会儿吃完饭打嗝不止，最好现在先垫一点 🤔
【用户正在购买】,1657873401507,2022-07-15 16:23:21,模范卍丈夫,113号
【主播弹幕】,1657873406809,2022-07-15 16:23:26,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657873423960,2022-07-15 16:23:43,主播,45号
【主播弹幕】,1657873423978,2022-07-15 16:23:43,主播,正在讲解45号宝贝
【主播开始讲解】,1657873423980,2022-07-15 16:23:43,主播,45
【实时弹幕】,1657873430397,2022-07-15 16:23:50,智窗高,我估计你不会慢慢吃 😅
【用户领券】,1657873457069,2022-07-15 16:24:17,159315770-133600,领取了一张优惠券
【用户领券】,1657873457859,2022-07-15 16:24:17,159315770-133600,领取了一张优惠券
【用户领券】,1657873458698,2022-07-15 16:24:18,159315770-133600,领取了一张优惠券
【实时弹幕】,1657873461795,2022-07-15 16:24:21,智窗高,因为……
【用户加入购物车】,1657873465564,2022-07-15 16:24:25,鹿鹿爱吃肉肉,130号
【用户正在购买】,1657873481543,2022-07-15 16:24:41,jd_RgBawEEoDGpd,96号
【用户加入购物车】,1657873488648,2022-07-15 16:24:48,jd_RgBawEEoDGpd,96号
【实时弹幕】,1657873492310,2022-07-15 16:24:52,智窗高,你笨 😆
【用户加入购物车】,1657873492371,2022-07-15 16:24:52,jd_RgBawEEoDGpd,94号
【用户关注】,1657873505634,2022-07-15 16:25:05,jd_JlUqmNZQwbsd
【用户正在购买】,1657873507896,2022-07-15 16:25:07,jd_RgBawEEoDGpd,81号
【用户正在购买】,1657873525707,2022-07-15 16:25:25,jd_JlUqmNZQwbsd,123号
【用户正在购买】,1657873526359,2022-07-15 16:25:26,159315770-133600,119号
【主播弹幕】,1657873531490,2022-07-15 16:25:31,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【用户分享直播间】,1657873580808,2022-07-15 16:26:20,三元伊朗
【用户加入购物车】,1657873621044,2022-07-15 16:27:01,jd_JlUqmNZQwbsd,52号
【用户正在购买】,1657873626095,2022-07-15 16:27:06,鹿鹿爱吃肉肉,119号
【主播结束讲解】,1657873737675,2022-07-15 16:28:57,主播,45
【主播正在讲解】,1657873806002,2022-07-15 16:30:06,主播,34号
【主播弹幕】,1657873806015,2022-07-15 16:30:06,主播,正在讲解34号宝贝
【主播开始讲解】,1657873806171,2022-07-15 16:30:06,主播,34
【主播结束讲解】,1657873871962,2022-07-15 16:31:11,主播,34
【用户正在购买】,1657873890263,2022-07-15 16:31:30,大肥没钱怎么买东西,90号
【用户加入购物车】,1657873898174,2022-07-15 16:31:38,大肥没钱怎么买东西,90号
【用户正在购买】,1657873914666,2022-07-15 16:31:54,大肥没钱怎么买东西,67号
【用户正在购买】,1657873934090,2022-07-15 16:32:14,大肥没钱怎么买东西,46号
【主播推送商品】,1657873984530,2022-07-15 16:33:04,主播,37号
【用户分享直播间】,1657873985534,2022-07-15 16:33:05,LY_慕梓
【用户正在购买】,1657874011749,2022-07-15 16:33:31,u_1py751o3h19n,129号
【主播正在讲解】,1657874020828,2022-07-15 16:33:40,主播,37号
【主播弹幕】,1657874020843,2022-07-15 16:33:40,主播,正在讲解37号宝贝
【主播开始讲解】,1657874020862,2022-07-15 16:33:40,主播,37
【主播结束讲解】,1657874066931,2022-07-15 16:34:26,主播,37
【用户正在购买】,1657874075158,2022-07-15 16:34:35,u_1py751o3h19n,129号
【用户正在购买】,1657874152184,2022-07-15 16:35:52,咚咚柯米萨,110号
【主播弹幕】,1657874175804,2022-07-15 16:36:15,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播正在讲解】,1657874279177,2022-07-15 16:37:59,主播,42号
【主播弹幕】,1657874279192,2022-07-15 16:37:59,主播,正在讲解42号宝贝
【主播开始讲解】,1657874284005,2022-07-15 16:38:04,主播,42
【用户分享直播间】,1657874286800,2022-07-15 16:38:06,日月星辰永恒
【用户领券】,1657874302189,2022-07-15 16:38:22,yq11022,领取了满199减130元券
【实时弹幕】,1657874310418,2022-07-15 16:38:30,智窗高,吃一个看看 🤔
【主播结束讲解】,1657874357175,2022-07-15 16:39:17,主播,42
【用户正在购买】,1657874392524,2022-07-15 16:39:52,yq11022,121号
【主播弹幕】,1657874418953,2022-07-15 16:40:18,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【主播弹幕】,1657874421935,2022-07-15 16:40:21,主播,1-78满减专区400-270，实付金额满69整点抽奖！！！
【用户正在购买】,1657874432539,2022-07-15 16:40:32,yq11022,127号
