【主播推送商品】,1664170404510,2022-09-26 13:33:24,主播,140号
【实时弹幕】,1664170407257,2022-09-26 13:33:27,jd_72c33ee53b6b3,直播领券更优惠
【主播推送商品】,1664170418192,2022-09-26 13:33:38,主播,140号
【实时弹幕】,1664170422144,2022-09-26 13:33:42,jd_EfQnsItRNqby,直播领券更优惠
【实时弹幕】,1664170424098,2022-09-26 13:33:44,炎正馨,直播领券更优惠
【主播推送商品】,1664170430890,2022-09-26 13:33:50,主播,140号
【用户正在购买】,1664170436304,2022-09-26 13:33:56,jd_42aae0ea58150,Top
【主播推送商品】,1664170450165,2022-09-26 13:34:10,主播,140号
【主播推送商品】,1664170466894,2022-09-26 13:34:26,主播,140号
【主播推送商品】,1664170479658,2022-09-26 13:34:39,主播,140号
【实时弹幕】,1664170487244,2022-09-26 13:34:47,jd_139704dxx,直播领券更优惠
【用户关注】,1664170487380,2022-09-26 13:34:47,jd_139704dxx
【实时弹幕】,1664170493897,2022-09-26 13:34:53,sucaicai,直播领券更优惠
【用户关注】,1664170493977,2022-09-26 13:34:53,sucaicai
【主播推送商品】,1664170496506,2022-09-26 13:34:56,主播,140号
【用户正在购买】,1664170502461,2022-09-26 13:35:02,TaQxbqGTIFLo,140号
【实时弹幕】,1664170504123,2022-09-26 13:35:04,130a2212,直播领券更优惠
【主播推送商品】,1664170506598,2022-09-26 13:35:06,主播,140号
【主播推送商品】,1664170516013,2022-09-26 13:35:16,主播,140号
【用户正在购买】,1664170518461,2022-09-26 13:35:18,五月yiyi,Top
【实时弹幕】,1664170527149,2022-09-26 13:35:27,简单生活0909,直播领券更优惠
【主播推送商品】,1664170527497,2022-09-26 13:35:27,主播,140号
【实时弹幕】,1664170533273,2022-09-26 13:35:33,jd139575wid,直播领券更优惠
【主播推送商品】,1664170533785,2022-09-26 13:35:33,主播,140号
【用户正在购买】,1664170539374,2022-09-26 13:35:39,jd_184386kjt,70号
【用户正在购买】,1664170541608,2022-09-26 13:35:41,TaQxbqGTIFLo,140号
【实时弹幕】,1664170542939,2022-09-26 13:35:42,鱼香肉丝2,直播领券更优惠
【用户正在购买】,1664170555767,2022-09-26 13:35:55,五月yiyi,134号
【用户正在购买】,1664170559094,2022-09-26 13:35:59,TaQxbqGTIFLo,140号
【用户正在购买】,1664170568807,2022-09-26 13:36:08,五月yiyi,129号
【用户正在购买】,1664170580316,2022-09-26 13:36:20,五月yiyi,123号
【实时弹幕】,1664170595896,2022-09-26 13:36:35,lijie9988,直播领券更优惠
【用户正在购买】,1664170604038,2022-09-26 13:36:44,五月yiyi,97号
【主播推送商品】,1664170604814,2022-09-26 13:36:44,主播,131号
【实时弹幕】,1664170610998,2022-09-26 13:36:50,xiaozhubupao,直播领券更优惠
【用户正在购买】,1664170618416,2022-09-26 13:36:58,jd_130927lce,120号
【实时弹幕】,1664170622245,2022-09-26 13:37:02,升斗1,直播领券更优惠
【主播推送商品】,1664170624482,2022-09-26 13:37:04,主播,131号
【主播推送商品】,1664170626424,2022-09-26 13:37:06,主播,131号
【实时弹幕】,1664170632001,2022-09-26 13:37:12,朱颜莫改,直播领券更优惠
【主播发优惠券】,1664170634259,2022-09-26 13:37:14,主播,10
【主播推送商品】,1664170637119,2022-09-26 13:37:17,主播,131号
【实时弹幕】,1664170637417,2022-09-26 13:37:17,jd_75cc518ac6778,直播领券更优惠
【用户关注】,1664170637560,2022-09-26 13:37:17,五月yiyi
【用户正在购买】,1664170644194,2022-09-26 13:37:24,五月yiyi,68号
【实时弹幕】,1664170647374,2022-09-26 13:37:27,yun6_,直播领券更优惠
【用户关注】,1664170647500,2022-09-26 13:37:27,yun6_
【实时弹幕】,1664170654848,2022-09-26 13:37:34,jd_QOLtgevcFFZz,👏👏✌️✌️🌹🌹
【主播推送商品】,1664170660310,2022-09-26 13:37:40,主播,131号
【用户正在购买】,1664170662037,2022-09-26 13:37:42,TaQxbqGTIFLo,140号
【用户正在购买】,1664170663746,2022-09-26 13:37:43,五月yiyi,66号
【实时弹幕】,1664170666410,2022-09-26 13:37:46,jd_QOLtgevcFFZz,直播领券更优惠
【主播推送商品】,1664170676514,2022-09-26 13:37:56,主播,131号
【实时弹幕】,1664170679640,2022-09-26 13:37:59,杨蒋,直播领券更优惠
【主播推送商品】,1664170697634,2022-09-26 13:38:17,主播,131号
【用户正在购买】,1664170706837,2022-09-26 13:38:26,五月yiyi,16号
【实时弹幕】,1664170708815,2022-09-26 13:38:28,jd_gAiLBTlSreeT,直播领券更优惠
【主播推送商品】,1664170711013,2022-09-26 13:38:31,主播,131号
【用户正在购买】,1664170716986,2022-09-26 13:38:36,五月yiyi,13号
【主播推送商品】,1664170730970,2022-09-26 13:38:50,主播,131号
【实时弹幕】,1664170733180,2022-09-26 13:38:53,jd_安岳福,直播领券更优惠
【实时弹幕】,1664170734994,2022-09-26 13:38:54,泡泡糖820215,直播领券更优惠
【用户正在购买】,1664170744978,2022-09-26 13:39:04,五月yiyi,12号
【实时弹幕】,1664170748221,2022-09-26 13:39:08,jd_187284jxmy,直播领券更优惠
【实时弹幕】,1664170748335,2022-09-26 13:39:08,王老吉001,直播领券更优惠
【主播推送商品】,1664170751640,2022-09-26 13:39:11,主播,131号
【实时弹幕】,1664170752975,2022-09-26 13:39:12,jd_ynll20,直播领券更优惠
【用户正在购买】,1664170758169,2022-09-26 13:39:18,jd_ePbIerGKBIcD,131号
【主播推送商品】,1664170771485,2022-09-26 13:39:31,主播,131号
【实时弹幕】,1664170777478,2022-09-26 13:39:37,jd_189483aiu,直播领券更优惠
【用户关注】,1664170777551,2022-09-26 13:39:37,jd_189483aiu
【主播推送商品】,1664170788850,2022-09-26 13:39:48,主播,131号
【实时弹幕】,1664170790825,2022-09-26 13:39:50,jd_138053untd,直播领券更优惠
【主播推送商品】,1664170811059,2022-09-26 13:40:11,主播,131号
【实时弹幕】,1664170813094,2022-09-26 13:40:13,小草每天,直播领券更优惠
【实时弹幕】,1664170813655,2022-09-26 13:40:13,LilyW707,直播领券更优惠
【实时弹幕】,1664170818631,2022-09-26 13:40:18,1352058868hy,直播领券更优惠
【主播推送商品】,1664170830056,2022-09-26 13:40:30,主播,131号
【实时弹幕】,1664170833909,2022-09-26 13:40:33,jd_137681yfq,直播领券更优惠
【用户正在购买】,1664170835211,2022-09-26 13:40:35,xuan-2363,85号
【主播推送商品】,1664170845409,2022-09-26 13:40:45,主播,131号
【用户正在购买】,1664170853626,2022-09-26 13:40:53,你的未来在哪里哈哈,127号
【用户正在购买】,1664170857799,2022-09-26 13:40:57,roion99999,Top
【用户领券】,1664170866609,2022-09-26 13:41:06,你的未来在哪里哈哈,
【用户正在购买】,1664170865452,2022-09-26 13:41:05,jd_WewwtoOQoIAS,77号
【主播推送商品】,1664170867926,2022-09-26 13:41:07,主播,131号
【用户正在购买】,1664170882316,2022-09-26 13:41:22,TaQxbqGTIFLo,140号
【主播推送商品】,1664170888501,2022-09-26 13:41:28,主播,131号
【主播发优惠券】,1664170894038,2022-09-26 13:41:34,主播,10
【主播推送商品】,1664170897945,2022-09-26 13:41:37,主播,131号
【主播推送商品】,1664170911171,2022-09-26 13:41:51,主播,131号
【实时弹幕】,1664170929098,2022-09-26 13:42:09,TDY134*****784,直播领券更优惠
【主播推送商品】,1664170930567,2022-09-26 13:42:10,主播,131号
【实时弹幕】,1664170942236,2022-09-26 13:42:22,在水伊人tadie,直播领券更优惠
【主播发优惠券】,1664170956576,2022-09-26 13:42:36,主播,10
【用户关注】,1664170958594,2022-09-26 13:42:38,LIU刘伟进
【实时弹幕】,1664170963117,2022-09-26 13:42:43,jd_583f338066de2,直播领券更优惠
【实时弹幕】,1664170975816,2022-09-26 13:42:55,jd_139617zmi,直播领券更优惠
【用户关注】,1664170975873,2022-09-26 13:42:55,jd_139617zmi
【实时弹幕】,1664170980072,2022-09-26 13:43:00,jd小蜜蜂a,直播领券更优惠
【实时弹幕】,1664170980298,2022-09-26 13:43:00,jd_135004xvy,直播领券更优惠
【主播发优惠券】,1664170980753,2022-09-26 13:43:00,主播,200
【主播推送商品】,1664171016836,2022-09-26 13:43:36,主播,86号
【实时弹幕】,1664171021831,2022-09-26 13:43:41,jd136835nno,直播领券更优惠
【实时弹幕】,1664171033317,2022-09-26 13:43:53,jinlvcaiwu,直播领券更优惠
【用户关注】,1664171033420,2022-09-26 13:43:53,jinlvcaiwu
【实时弹幕】,1664171033487,2022-09-26 13:43:53,jd于鹏cyj,直播领券更优惠
【用户关注】,1664171039456,2022-09-26 13:43:59,jd_644c5bf21fc68
【主播推送商品】,1664171049212,2022-09-26 13:44:09,主播,86号
【主播发优惠券】,1664171055050,2022-09-26 13:44:15,主播,10
【用户正在购买】,1664171055461,2022-09-26 13:44:15,你的未来在哪里哈哈,86号
【实时弹幕】,1664171061669,2022-09-26 13:44:21,wangma255,直播领券更优惠
【用户正在购买】,1664171062488,2022-09-26 13:44:22,你的未来在哪里哈哈,86号
【实时弹幕】,1664171073908,2022-09-26 13:44:33,jd_wkeYipHbXKPb,直播领券更优惠
【用户正在购买】,1664171079663,2022-09-26 13:44:39,你的未来在哪里哈哈,86号
【主播推送商品】,1664171085899,2022-09-26 13:44:45,主播,86号
【实时弹幕】,1664171088184,2022-09-26 13:44:48,人生如酒莫贪杯,直播领券更优惠
【实时弹幕】,1664171096855,2022-09-26 13:44:56,jd_hNLYuyMGTGEP,直播领券更优惠
【用户正在购买】,1664171098197,2022-09-26 13:44:58,你的未来在哪里哈哈,86号
【主播推送商品】,1664171105696,2022-09-26 13:45:05,主播,86号
【用户正在购买】,1664171114509,2022-09-26 13:45:14,你的未来在哪里哈哈,86号
【实时弹幕】,1664171121487,2022-09-26 13:45:21,jd_eGpHmLQQPxAs,直播领券更优惠
【实时弹幕】,1664171131325,2022-09-26 13:45:31,jd_sKFkwIyCYiFc,直播领券更优惠
【主播推送商品】,1664171132663,2022-09-26 13:45:32,主播,86号
【用户正在购买】,1664171134951,2022-09-26 13:45:34,你的未来在哪里哈哈,86号
【用户正在购买】,1664171138630,2022-09-26 13:45:38,你的未来在哪里哈哈,86号
【主播推送商品】,1664171151573,2022-09-26 13:45:51,主播,86号
【用户正在购买】,1664171154457,2022-09-26 13:45:54,你的未来在哪里哈哈,86号
【用户正在购买】,1664171159100,2022-09-26 13:45:59,你的未来在哪里哈哈,86号
【主播推送商品】,1664171168849,2022-09-26 13:46:08,主播,86号
【主播推送商品】,1664171184454,2022-09-26 13:46:24,主播,86号
【主播推送商品】,1664171187128,2022-09-26 13:46:27,主播,86号
【用户正在购买】,1664171189251,2022-09-26 13:46:29,你的未来在哪里哈哈,86号
【实时弹幕】,1664171190984,2022-09-26 13:46:30,jd180079xtn,直播领券更优惠
【主播推送商品】,1664171201600,2022-09-26 13:46:41,主播,86号
【主播推送商品】,1664171204176,2022-09-26 13:46:44,主播,86号
【实时弹幕】,1664171216912,2022-09-26 13:46:56,qbx372829549,直播领券更优惠
【用户关注】,1664171217142,2022-09-26 13:46:57,qbx372829549
【实时弹幕】,1664171219973,2022-09-26 13:46:59,幼儿园2353,直播领券更优惠
【主播推送商品】,1664171225223,2022-09-26 13:47:05,主播,86号
【用户正在购买】,1664171236839,2022-09-26 13:47:16,jd_150475pee,86号
【用户正在购买】,1664171238607,2022-09-26 13:47:18,你的未来在哪里哈哈,129号
【用户正在购买】,1664171241697,2022-09-26 13:47:21,你的未来在哪里哈哈,124号
【用户正在购买】,1664171245630,2022-09-26 13:47:25,你的未来在哪里哈哈,119号
【主播发优惠券】,1664171247921,2022-09-26 13:47:27,主播,10
【主播推送商品】,1664171253058,2022-09-26 13:47:33,主播,86号
【用户关注】,1664171253874,2022-09-26 13:47:33,jd_41054cd2d50d0
【主播发优惠券】,1664171270994,2022-09-26 13:47:50,主播,200
【用户关注】,1664171273178,2022-09-26 13:47:53,jd_AcNJXwQXdPSq
【用户关注】,1664171273548,2022-09-26 13:47:53,jd_5c4d33a347920
【用户正在购买】,1664171285459,2022-09-26 13:48:05,jd_AcNJXwQXdPSq,119号
【实时弹幕】,1664171288960,2022-09-26 13:48:08,jd_482dc6c595765,直播领券更优惠
【实时弹幕】,1664171290040,2022-09-26 13:48:10,jd_482dc6c595765,直播领券更优惠
【用户进入店铺】,1664171303636,2022-09-26 13:48:23,是顾淮笙啊,1000015268
【主播推送商品】,1664171303705,2022-09-26 13:48:23,主播,86号
【用户正在购买】,1664171307035,2022-09-26 13:48:27,jd_AcNJXwQXdPSq,Top
【用户正在购买】,1664171308996,2022-09-26 13:48:28,你的未来在哪里哈哈,86号
【主播推送商品】,1664171312571,2022-09-26 13:48:32,主播,85号
【实时弹幕】,1664171322820,2022-09-26 13:48:42,jd_LvxtQdGRqXPd,直播领券更优惠
【用户正在购买】,1664171323256,2022-09-26 13:48:43,犇_M_犇,138号
【用户领券】,1664171333820,2022-09-26 13:48:53,你的未来在哪里哈哈,
【主播推送商品】,1664171334476,2022-09-26 13:48:54,主播,85号
【用户正在购买】,1664171337204,2022-09-26 13:48:57,你的未来在哪里哈哈,85号
【实时弹幕】,1664171342636,2022-09-26 13:49:02,wanqing1984,直播领券更优惠
【用户关注】,1664171343363,2022-09-26 13:49:03,wanqing1984
【实时弹幕】,1664171345681,2022-09-26 13:49:05,jd138016vtl,直播领券更优惠
【主播推送商品】,1664171349122,2022-09-26 13:49:09,主播,85号
【用户正在购买】,1664171349185,2022-09-26 13:49:09,你的未来在哪里哈哈,85号
【用户进入店铺】,1664171354972,2022-09-26 13:49:14,jd_AcNJXwQXdPSq,1000015268
【实时弹幕】,1664171355035,2022-09-26 13:49:15,jd_138713gkz,直播领券更优惠
【实时弹幕】,1664171357709,2022-09-26 13:49:17,jd_177098tla,直播领券更优惠
【主播推送商品】,1664171376574,2022-09-26 13:49:36,主播,85号
【用户正在购买】,1664171378578,2022-09-26 13:49:38,你的未来在哪里哈哈,118号
【主播发优惠券】,1664171381885,2022-09-26 13:49:41,主播,10
【用户关注】,1664171385560,2022-09-26 13:49:45,聪明兔22
【主播推送商品】,1664171386163,2022-09-26 13:49:46,主播,85号
【实时弹幕】,1664171398012,2022-09-26 13:49:58,崔荣丽,直播领券更优惠
【实时弹幕】,1664171405594,2022-09-26 13:50:05,红尘仙子,直播领券更优惠
【主播推送商品】,1664171408531,2022-09-26 13:50:08,主播,85号
【实时弹幕】,1664171409509,2022-09-26 13:50:09,a444160226,猪蹄180g几袋
【用户正在购买】,1664171422783,2022-09-26 13:50:22,a444160226,34号
【实时弹幕】,1664171423141,2022-09-26 13:50:23,jd_hczwTvaXPnRW,直播领券更优惠
【主播推送商品】,1664171424834,2022-09-26 13:50:24,主播,85号
【用户正在购买】,1664171434925,2022-09-26 13:50:34,NIYMING,99号
【用户正在购买】,1664171442399,2022-09-26 13:50:42,聪明兔22,Top
【实时弹幕】,1664171480165,2022-09-26 13:51:20,雨雪风霜123,直播领券更优惠
